source,target,occurences
217068,10.1109/CNSR.2008.51,349
217068,10.1145/1996130.1996172,349
217068,10.1109/ISQED.2008.4479703,349
217068,10.1109/IOLTS.2011.5994536,349
217068,10.1007/978-3-540-70550-5_31,349
217068,10.1007/978-3-642-19475-7_3,349
217068,10.1109/ICPP.2011.80,349
217068,10.1109/ISPASS.2011.5762738,349
217068,10.1109/DASIP.2011.6136849,349
217068,10.1109/ASAP.2011.6043273,349
217068,10.1109/FPT.2011.6132700,349
217068,10.1145/1375527.1375578,349
217068,10.1145/2063576.2063973,349
217068,10.1109/AICCSA.2011.6126587,349
217068,10.1145/2039370.2039374,349
217068,10.1007/s10766-010-0135-4,349
217068,10.1109/TVLSI.2007.912036,349
217068,10.1145/1950413.1950458,349
217068,10.1145/1366230.1366235,349
217068,10.1109/IPDPS.2011.87,349
217068,10.1145/1973009.1973101,349
217068,10.1007/978-3-642-22655-7_3,349
217068,10.1109/ReCoSoC.2011.5981522,349
217068,10.1007/978-3-642-23400-2_4,349
217068,10.1109/HiPC.2011.6152735,349
217068,10.1109/PDCAT.2011.16,349
217068,10.1007/978-3-642-19137-4_14,349
217068,10.1145/1944862.1944890,349
217068,10.1109/HPSR.2011.5986002,349
217068,10.1109/ISCC.2011.5983870,349
217068,10.1109/ANCS.2011.17,349
217068,10.1145/1944862.1944878,349
217068,10.1109/ICPP.2011.44,349
217068,10.1049/iet-cdt.2010.0004,349
217068,10.1007/978-3-642-19137-4_21,349
217068,10.1109/DATE.2008.4484763,349
217068,10.1109/DATE.2008.4484843,349
217068,10.1109/PDP.2008.74,349
217068,10.1007/978-3-642-23397-5_38,349
217068,10.1007/978-3-642-23400-2_26,349
217068,10.1145/1944862.1944886,349
217068,10.1145/1366230.1366259,349
217068,10.1016/j.comnet.2010.10.011,349
217068,10.1007/978-3-642-23687-7_53,349
217068,10.1109/CCGrid.2011.48,349
217068,10.1109/ICASSP.2011.5946824,349
217068,10.1109/TSMCA.2007.914769,349
217068,10.1109/EUC.2011.4,349
217068,10.1145/2016604.2016619,349
217068,10.1109/TPDS.2008.106,349
217068,10.1016/j.parco.2008.03.004,349
217068,10.1007/978-3-540-87475-1_19,349
217068,10.1109/CGO.2011.5764672,349
217068,10.1049/iet-cdt.2009.0103,349
217068,10.1007/978-3-540-85451-7_40,349
217068,10.1145/1987816.1987824,349
217068,10.1109/PACT.2011.65,349
217068,10.1007/978-3-642-23400-2_31,349
217068,10.1145/1366230.1366241,349
217068,10.1109/TPDS.2010.144,349
217068,10.1109/PACT.2011.47,349
217068,10.1109/ISBI.2011.5872615,349
217068,10.1109/TCAD.2011.2176730,349
217068,10.1109/TVLSI.2011.2158249,349
217068,10.1007/s11554-011-0194-9,349
217068,10.1109/TC.2011.79,349
217068,10.1109/TC.2010.255,349
217068,10.1007/s11390-012-1207-2,349
217068,10.1093/bioinformatics/bts454,349
217068,10.1145/2086696.2086698,349
217068,10.1109/TC.2009.57,349
217068,10.1109/ISVLSI.2011.13,349
217068,10.1109/TPDS.2010.30,349
217068,10.1007/978-3-540-78153-0_20,349
217068,10.1145/1366230.1366266,349
217068,10.1145/1353610.1353628,349
217068,10.1109/FPT.2011.6132717,349
217068,10.1007/978-3-642-23291-6_26,349
217068,10.1145/2039370.2039384,349
217068,10.1007/978-3-540-77560-7_19,349
217068,10.1109/DS-RT.2011.26,349
217068,10.1145/1736020.1736059,349
217068,10.1007/978-3-642-23400-2_21,349
217068,10.1016/j.micpro.2007.10.001,349
217068,10.1007/978-3-540-78761-7_45,349
217068,10.1109/ICASSP.2011.5946586,349
217068,10.1007/978-3-642-23400-2_28,349
217068,10.1145/1366110.1366127,349
217068,10.1109/SiPS.2011.6088967,349
217068,10.1145/1366230.1366272,349
217068,10.1109/ICCD.2011.6081435,349
217068,10.1109/SAMOS.2011.6045464,349
217068,10.1109/DASIP.2011.6136847,349
217068,10.1109/DATE.2008.4484896,349
217068,10.1177/1094342010373486,349
217068,10.1109/ARITH.2011.16,349
217068,10.1145/1375457.1375472,349
217068,10.1109/I-SPAN.2008.40,349
217068,10.1109/CLUSTER.2011.24,349
217068,10.1016/j.neucom.2007.12.020,349
217068,10.1109/DASIP.2011.6136862,349
217068,10.1016/j.comnet.2007.12.009,349
217068,10.1145/2155620.2155646,349
217068,10.1007/978-3-642-21934-4_52,349
217068,10.1145/1973009.1973074,349
217068,10.1109/ICPPW.2011.50,349
217068,10.1007/978-3-540-68807-5_14,349
217068,10.1109/TC.2007.70783,349
217068,10.1145/2063576.2064022,349
217068,10.1145/2037509.2037523,349
217068,10.1109/NCA.2013.42,349
217068,10.1109/IPDPS.2011.84,349
217068,10.1109/P2P.2008.10,349
217068,10.1109/ICPP.2011.74,349
217068,10.1109/DATE.2008.4484767,349
217068,10.1109/SAMOS.2011.6045450,349
217068,10.1109/DAC.2008.4555783,349
217068,10.1007/978-3-642-19934-9_21,349
217068,10.1109/ICCD.2011.6081375,349
217068,10.1109/PIMRC.2011.6139889,349
217068,10.1007/978-3-642-23400-2_30,349
217068,10.1007/978-3-540-77560-7_10,349
217068,10.1007/978-3-540-85451-7_34,349
217068,10.1145/2037509.2037520,349
217068,10.1016/j.sysarc.2010.08.008,349
217068,10.1142/S0129183112300011,349
217068,10.1109/CCGrid.2011.64,349
217068,10.1145/1952522.1952530,349
217068,10.1145/1941553.1941587,349
217068,10.1007/978-3-642-23687-7_27,349
217068,10.14279/depositonce-6339,349
217068,10.1109/HPSR.2011.5986003,349
217068,10.1007/s10766-007-0064-z,349
217068,10.1007/978-1-4419-6460-1_10,349
217068,10.1145/1973009.1973069,349
217068,10.1145/1356058.1356064,349
217068,10.1109/TMM.2007.911195,349
217068,10.1007/978-3-642-19137-4_2,349
217068,10.1007/978-3-540-79561-2-10,349
217068,10.1109/CGO.2011.5764683,349
217068,10.1145/1925844.1926449,349
217068,10.1109/VISSOF.2011.6069451,349
217068,10.1145/2048066.2048134,349
217068,10.1007/978-3-540-85451-7_80,349
217068,10.1007/s10766-010-0160-3,349
217068,10.1109/LES.2011.2124438,349
217068,10.1007/978-3-642-21852-1_69,349
217068,10.1109/DATE.2008.4484923,349
217068,10.1007/978-3-642-24154-3,349
217068,10.1007/978-3-642-21498-1_30,349
217068,10.1109/HPCA.2011.5749750,349
217068,10.1016/j.entcs.2008.03.109,349
217068,10.1109/IPDPS.2011.276,349
217068,10.1109/CSE.2008.43,349
217068,10.1007/978-3-540-78761-7_18,349
217068,10.1016/j.scico.2008.06.002,349
217068,10.1109/TVLSI.2009.2033932,349
217068,10.1007/978-3-642-24403-2_19,349
217068,10.1109/DSD.2011.54,349
217068,10.1007/978-3-642-19137-4_3,349
217068,10.1007/978-1-4419-6460-1_2,349
217068,10.1007/978-3-540-85958-1_7,349
217068,10.1007/978-3-540-79104-1_7,349
217068,10.1145/1366230.1366236,349
217068,10.1109/ISCAS.2011.5938135,349
217068,10.1007/978-3-642-19475-7_31,349
217068,10.1007/978-3-540-77560-7_6,349
217068,10.5772/22976,349
217068,10.1109/MASCOTS.2011.11,349
217068,10.1007/978-3-540-77560-7_4,349
217068,10.1109/NOCS.2008.4492720,349
217068,10.1109/FPL.2011.39,349
217068,10.1007/978-3-642-13374-9_19,349
217068,10.1109/ISPASS.2011.5762725,349
217068,10.1109/IPDPS.2011.170,349
217068,10.1007/978-3-540-79561-2-9,349
217068,10.1109/ReCoSoC.2011.5981529,349
217068,10.1109/INFCOM.2011.5935167,349
217068,10.1109/CLUSTER.2011.26,349
217068,10.1109/SAMOS.2011.6045461,349
217068,10.1109/HPCC.2011.16,349
217068,10.1145/1375527.1375571,349
217068,10.1007/978-3-642-23740-9_2,349
217068,10.1109/TC.2010.280,349
217068,10.1145/1331331.1331332,349
217068,10.1109/ISORC.2011.27,349
217068,10.1109/IDAACS.2011.6072765,349
217068,10.1007/978-3-540-77560-7_9,349
217068,10.1109/DSD.2011.99,349
217068,10.1007/s00500-008-0292-1,349
217068,10.1109/CSE.2011.104,349
217068,10.1109/ATS.2011.87,349
217068,10.1109/DATE.2008.4484864,349
217068,10.1109/CCGrid.2011.67,349
261504,10.1016/j.meegid.2016.12.007,243
261504,10.1111/mve.12192,243
261504,10.1017/s0031182013001522,243
261504,10.1007/s00436-012-2910-1,243
261504,10.1128/JVI.01123-13,243
261504,PMC3995969,243
261504,10.1017/S0031182017001548,243
261504,10.1186/s13071-015-1287-2,243
261504,10.1016/j.ijpddr.2012.07.003,243
261504,10.1186/s13071-018-2676-0,243
261504,10.1016/j.cimid.2012.07.002,243
261504,PMC3651993,243
261504,10.1016/j.antiviral.2013.07.020,243
261504,PMC3436687,243
261504,10067/1076720151162165141,243
261504,25078616,243
261504,10.1016/j.ijpara.2012.02.006,243
261504,26336272,243
261504,PMC3970142,243
261504,10.1371/journal.pone.0140722,243
261504,PMC3779099,243
261504,25742017,243
261504,PMC4839143,243
261504,PMC3688897,243
261504,26002826,243
261504,10.2217/fmb.13.77,243
261504,10.1186/s13071-018-2650-x,243
261504,PMC4754473,243
261504,PMC4370468,243
261504,10.1016/j.vetmic.2013.08.011,243
261504,10.3390/ijerph15040732,243
261504,10.1186/1756-3305-7-128,243
261504,10.1038/hdy.2013.103,243
261504,PMC4495613,243
261504,10.1371/journal.pntd.0004539,243
261504,10.1080/01431161.2012.718467,243
261504,10.5334/jophd.ac,243
261504,10.1186/s13071-015-1192-8,243
261504,10.1371/journal.pcbi.1003931,243
261504,PMC3557860,243
261504,10.1089/vbz.2012.1278,243
261504,10.1128/jcm.00558-12,243
261504,10.1038/nrmicro3066,243
261504,PMC5760094,243
261504,10.13039/501100000270,243
261504,10.1371/journal.pone.0118963,243
261504,PMC3483221,243
261504,10.1186/1756-3305-7-103,243
261504,uuid:cd117376-efe6-45fa-baf2-6284bc02dd61,243
261504,10.1111/j.1365-2915.2012.01034.x,243
261504,10.1128/AEM.03300-12,243
261504,10.1099/vir.0.056200-0,243
261504,10.1017/S0031182013001522,243
261504,10.1186/s13071-015-1217-3,243
261504,27783676,243
261504,10.1016/j.prevetmed.2017.11.005,243
261504,PMC5825170,243
261504,10.1590/0074-0276108042013014,243
261504,25188587,243
261504,10.1371/journal.pone.0179118,243
261504,10.1093/sysbio/sys038,243
261504,10.1007/s11262-012-0736-7,243
261504,23281838,243
261504,24171166,243
261504,10.1186/s13071-015-0765-x,243
261504,PMC3722228,243
261504,27075742,243
261504,25520947,243
261504,10.1186/s13071-014-0476-8,243
261504,22264275,243
261504,22761842,243
261504,10.1016/j.ttbdis.2015.05.002,243
261504,PMC4762948,243
261504,10.1186/1756-3305-6-1,243
261504,10.1016/j.vetpar.2013.05.008,243
261504,PMC3751727,243
261504,10.1089/vbz.2011.0906,243
261504,PMC4307892,243
261504,10.1111/brv.12149,243
261504,23240764,243
261504,10.1111/tbed.12141,243
261504,10.1186/s13071-015-0759-8,243
261504,10.1016/j.meegid.2013.04.008,243
261504,10.1007/s00705-012-1514-5,243
261504,PMC4552786,243
261504,10.1371/journal.pone.0129418,243
261504,10.1016/j.antiviral.2013.02.007,243
261504,10.1371/journal.pntd.0003299,243
261504,10.1186/s13071-018-2920-7,243
261504,PMC4220636,243
261504,24069484,243
261504,25212410,243
261504,26111018,243
261504,10.1371/journal.pntd.0002566,243
261504,PMC4487250,243
261504,10.1186/s13071-017-2394-z,243
261504,23358234,243
261504,10.1556/AVet.2012.050,243
261504,10.1111/1469-0691.12347,243
261504,10.1186/1756-3305-5-276,243
261504,10.1038/srep01178,243
261504,28764772,243
261504,PMC4994380,243
261504,PMC4786328,243
261504,10.4269/ajtmh.13-0070,243
261504,PMC5109773,243
261504,PMC3557877,243
261504,10.1186/1756-3305-6-67,243
261504,PMC4795628,243
261504,10.1186/s13071-015-0880-8,243
261504,23840418,243
261504,10.1098/rstb.2013.0562,243
261504,26887639,243
261504,10.1186/s13567-015-0281-1,243
261504,10.1038/srep00863,243
261504,PMC3774427,243
261504,10.1186/1756-3305-7-233,243
261504,24423215,243
261504,10.1371/journal.pntd.0004539,243
261504,10.1016/j.antiviral.2013.07.005,243
261504,10.1016/j.ijpara.2012.02.012,243
261504,10.1111/gcb.12099,243
261504,10.1186/s13071-017-2221-6,243
261504,22827913,243
261504,25128197,243
261504,10.3201/eid1904.121057,243
261504,PMC4257835,243
261504,10.1016/j.actatropica.2014.01.003,243
261504,10.1016/j.vetmic.2013.08.013,243
261504,10.1371/journal.pntd.0004539,243
261504,10.1098/rsbl.2013.0887,243
261504,10.5167/uzh-79108,243
261504,PMC4374543,243
261504,10.1111/tbed.12142,243
261504,22745781,243
261504,10.1089/vbz.2011.0939,243
261504,10.1007/s00705-012-1405-9,243
261504,26310789,243
261504,23497700,243
261504,10.13039/501100007175,243
261504,10.1371/journal.pntd.0003687,243
261504,25625703,243
261504,PMC3380007,243
261504,10.1371/journal.pntd.0001344,243
261504,PMC4540314,243
261504,24855911,243
261504,PMC4316759,243
261504,10.1016/j.meegid.2013.07.025,243
261504,10.1051/acarologia/20122068,243
261504,10.1016/j.jprot.2015.08.002,243
261504,PMC3842327,243
261504,10.1111/jvec.12115,243
261504,PMC3967966,243
261504,10.1186/s12936-015-0571-0,243
261504,10.3390/v5102469,243
261504,26901622,243
261504,10.1371/journal.pone.0108864,243
261504,10.1111/mve.12152,243
261504,10.1016/j.vetmic.2014.02.007,243
261504,10.1016/j.ttbdis.2013.09.008,243
261504,10.1016/j.prevetmed.2014.03.007,243
261504,10.1186/1756-3305-7-222,243
261504,10.1371/journal.pone.0084316,243
261504,10.1186/s13071-014-0560-0,243
261504,PMC3823308,243
261504,10.13039/501100008530,243
261504,PMC4730112,243
261504,PMC4427133,243
261504,PMC4229600,243
261504,PMC4369833,243
261504,PMC4458039,243
261504,23717616,243
261504,PMC3557884,243
261504,PMC4917172,243
261504,10.1371/journal.pone.0085444,243
261504,10.1016/j.vetpar.2013.01.016,243
261504,PMC5357344,243
261504,10.1603/ME12126,243
261504,10.1051/parasite/2016051,243
261504,10.1371/annotation/fb586825-2ad7-41a5-b7d6-aef0e65c5887,243
261504,10.1186/s13071-016-1560-z,243
261504,10.3390/ijerph10104718,243
261504,10.1098/rspb.2011.2555,243
261504,29649132,243
261504,23675551,243
261504,PMC4229218,243
261504,10.1038/srep03361,243
261504,10.1186/1476-072X-11-39,243
261504,PMC4710844,243
261504,10.2217/FMB.15.15,243
261504,10.1186/PREACCEPT-2021441884132711,243
261504,23919825,243
261504,10.1186/1756-3305-6-1,243
261504,PMC4488335,243
261504,10.1089/vbz.2012.1159,243
261504,25034464,243
261504,10.1111/zph.12045,243
261504,10.1016/j.nmni.2016.02.012,243
261504,10.1002/jmv.23681,243
261504,25499569,243
261504,22802977,243
261504,10.1186/s13071-016-1812-y,243
261504,10.1007/S00442-014-3072-X,243
261504,10.1016/j.actatropica.2015.06.012,243
261504,10.1007/s10493-015-9996-y,243
261504,10.1016/j.ttbdis.2013.12.008,243
261504,10.1371/journal.pntd.0004539,243
261504,PMC3766276,243
261504,PMC3973751,243
261504,10.1186/s12942-015-0001-0,243
261504,10.4269/ajtmh.13-0457,243
261504,10.1073/pnas.1516778112,243
261504,10.1111/tbed.12077,243
261504,23031344,243
261504,26482351,243
261504,PMC3608947,243
261504,10.1186/s13071-015-1139-0,243
261504,PMC4424539,243
261504,10.1371/journal.pntd.0004501,243
261504,PMC4318940,243
261504,10.3201/eid2306.161929,243
261504,PMC3984398,243
261504,10.1146/annurev-ento-031616-035010,243
261504,10.3109/1040841X.2012.686481,243
261504,10.1186/s13071-016-1665-4,243
261504,PMC4378381,243
261504,10.3201/eid2003.130935,243
261504,10.1002/rmv.1722,243
261504,10.13039/501100000780,243
261504,PMC4766919,243
261504,10.1017/S0031182012001345,243
261504,PMC4379737,243
261504,10.1186/s13071-016-1901-y,243
261504,10.1016/j.ecolmodel.2013.12.004,243
261504,28969685,243
261504,24587463,243
261504,10.5334/jophd.ab,243
261504,10.1016/j.ttbdis.2013.01.004,243
261504,PMC4777573,243
261504,10.1371/journal.pntd.0002993,243
261504,10.1017/S0007485312000466,243
261504,10.1111/j.1365-2915.2012.01042.x,243
261504,PMC5331674,243
201413,10.2337/db10-1340,209
201413,10.7326/0003-4819-151-8-200910200-00006,209
201413,10.1101/gr.119685.110,209
201413,10.1038/nn.3484,209
201413,10.1111/j.1748-720X.2011.00629.x,209
201413,PMC4783625,209
201413,25244618,209
201413,10.1038/nature10659,209
201413,10.1371/journal.pgen.1002333,209
201413,10.1371/journal.pone.0094661,209
201413,10.1038/ng.856,209
201413,10.1093/hmg/ddt141,209
201413,10.1375/twin.13.3.231,209
201413,10.1371/journal.pgen.1005535,209
201413,10.1093/eurheartj/ehq405,209
201413,10.1177/1747016111435576,209
201413,10.1016/S0140-6736(10)60588-0,209
201413,10.1038/ng.507,209
201413,10.1371/journal.pgen.1003098,209
201413,10.1371/journal.pgen.1003098,209
201413,10.1016/j.diabres.2012.04.020,209
201413,10.1161/CIRCULATIONAHA.110.948570,209
201413,10.1371/journal.pgen.1000508,209
201413,10.1007/s00125-012-2587-0,209
201413,10.1249/MSS.0b013e3182479747,209
201413,PMC3369922,209
201413,10.1371/journal.pgen.1002805,209
201413,10.1093/ije/dyt267,209
201413,10.1136/hrt.2010.207555,209
201413,10.1371/journal.pgen.1000508,209
201413,10.1371/journal.pgen.1002607,209
201413,22672667,209
201413,10.1038/ng.467,209
201413,10.1038/nrg3394,209
201413,10.3414/ME00-01-0052,209
201413,28369451,209
201413,10.1002/gepi.20374,209
201413,PMC3617140,209
201413,10.1161/CIRCULATIONAHA.109.901413,209
201413,10.1007/s00439-011-1067-9,209
201413,29725345,209
201413,10.1186/gm417,209
201413,PMC3770784,209
201413,10.1164/rccm.201105-0870OC,209
201413,10.1016/j.jpsychires.2012.11.001,209
201413,10.1038/ejhg.2010.30,209
201413,19473509,209
201413,22884971,209
201413,10.1038/ng.462,209
201413,10.1002/ajmg.b.32013,209
201413,10.1161/ATVBAHA.108.181388,209
201413,10.3389/fgene.2016.00190,209
201413,10.1038/ng.2554,209
201413,10.1038/ng.404,209
201413,10.1093/bioinformatics/btq029,209
201413,PMC4417146,209
201413,10.2337/db11-1355,209
201413,21970509,209
201413,PMC6047860,209
201413,10.1053/j.ajkd.2012.01.014,209
201413,PMC3969612,209
201413,PMC2575505,209
201413,10.1371/journal.pgen.1002655,209
201413,urn:nbn:ch:serval-BIB_067AD2D23F443,209
201413,PMC3674994,209
201413,10.1038/nature10405,209
201413,10.1038/ng.288,209
201413,10.1038/ng.290,209
201413,10.1016/j.ajhg.2009.12.008,209
201413,10.1016/S1474-4422(12)70234-X,209
201413,PMC3934819,209
201413,10.1371/journal.pone.0167742,209
201413,10.1371/journal.pgen.1002607,209
201413,10.1161/ATVBAHA.112.301120,209
201413,10.1371/journal.pgen.1002333,209
201413,10.1038/ng.2480,209
201413,20509871,209
201413,10.1038/ng.269,209
201413,PMC3364960,209
201413,10.1038/ng.2467,209
201413,10.1038/ng.2250,209
201413,10.1038/nature10406,209
201413,10.1007/s00125-012-2756-1,209
201413,10.2337/db10-1575,209
201413,PMC4927142,209
201413,PMC2759553,209
201413,10.1186/1750-1172-8-125,209
201413,10.1161/HYPERTENSIONAHA.112.201400,209
201413,10.1186/2041-2223-2-23,209
201413,10.1038/ng.520,209
201413,uri:ea7d97de-2be6-471b-9eaa-ed8e2ebc71fa,209
201413,10.2337/db09-1568,209
201413,PMC3245134,209
201413,10.1161/STROKEAHA.111.614099,209
201413,10.1038/nature10406,209
201413,10.2337/db12-0935,209
201413,10.2337/db12-0976,209
201413,10.1038/ejhg.2012.303,209
201413,22291603,209
201413,10.1016/j.biopsych.2010.09.055,209
201413,PMC4589697,209
201413,10.1371/journal.pcbi.1002258,209
201413,PMC4057178,209
201413,10.2337/db10-0502,209
201413,PMC3945173,209
201413,10.1177/1470320311405557,209
201413,10.1371/journal.pgen.1000508,209
201413,10.1164/rccm.201102-0192OC,209
201413,10.1152/japplphysiol.00753.2010,209
201413,PMC2938267,209
201413,10.1371/journal.pgen.1002805,209
201413,10.1371/journal.pgen.1000504,209
201413,27342572,209
201413,10.1136/jme.2011.043042,209
201413,10.1093/hmg/dds369,209
201413,10.1038/ng.287,209
201413,28322274,209
201413,10.1038/ng.521,209
201413,10.1371/journal.pgen.1002607,209
201413,10.2202/1544-6115.1663,209
201413,10.1371/journal.pone.0024702,209
201413,10.1371/journal.pgen.1002607,209
201413,10.1371/journal.pgen.1000504,209
201413,10.1371/journal.pgen.1000504,209
201413,PMC4820956,209
201413,10.1016/j.mce.2012.08.018,209
201413,10.1111/j.1464-5491.2012.03665.x,209
201413,19563656,209
201413,10.1182/blood-2009-04-214668,209
201413,10.1093/bib/bbq082,209
201413,24084939,209
201413,24438232,209
201413,22848412,209
201413,10.1038/ng.622,209
201413,21909110,209
201413,PMC3035801,209
201413,10.1161/CIRCGENETICS.111.961243,209
201413,10.1007/s00223-013-9704-z,209
201413,10.1016/j.jacc.2011.10.871,209
201413,10.1111/j.1601-183X.2012.00815.x,209
201413,10.1002/sim.3416,209
201413,10.1016/S0140-6736(11)60874-X,209
201413,10.1002/oby.20606,209
201413,10.1016/j.ajhg.2010.08.005,209
201413,10.1038/ng.566,209
201413,10.1007/s00125-009-1291-1,209
201413,22817777,209
201413,10.1186/1471-2164-9-573,209
201413,10.1371/journal.pone.0200140,209
201413,10.1093/hmg/ddr272,209
